# Constructed from biom file
#OTU ID	SRR15851693	SRR15851694	SRR15851695	SRR15851696	SRR15851697	SRR15851698	SRR15851699	SRR15851700	SRR15851701	SRR15851702	SRR15851703	SRR15851704	SRR15851705	SRR15851706	SRR15851707	SRR15851708	SRR15851709	SRR15851710	SRR15851711	SRR15851712
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	0.0	0.01254863813229572	0.0009713024282560706	0.0	0.0026301946344029457	0.0035776686912388717	0.010913003381494006	0.0	0.013061693912757742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0017219787100814026	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.0074205995844464235	0.004377431906614786	0.0	0.04890706085862557	0.030904786954234615	0.0022464431317081287	0.02858899477405472	0.01012543448692761	0.0034502587694077054	0.008556384379113647	0.0	0.01209058919065235	0.0024085224641037517	0.02912621359223301	0.0	0.021939328277356448	0.006546134663341646	0.013775829680651221	0.01401463475133325	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.1662214306915999	0.13784046692607005	0.22189845474613687	0.18524925302720555	0.18398211467648606	0.151426907396622	0.2360897632954196	0.1254344869276107	0.09364988088392344	0.13975427819218955	0.21297880742398315	0.16962916177930162	0.18026864289022695	0.13441815944208943	0.17608908467939305	0.16996208017334777	0.19139650872817954	0.2099248591108328	0.0940096738186779	0.07428658863132125
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.0050460077174235675	0.09649805447470818	0.039735099337748346	0.04261676364208209	0.05036822724881641	0.04210000832015975	0.00891484783276975	0.042315248602085534	0.044935513020619405	0.07898200965335674	0.05673292088982493	0.024812776324099974	0.04316813339509032	0.028169014084507043	0.030714635340186	0.044284940411700974	0.0408354114713217	0.05917345021916093	0.05258588614659556	0.053859689388723125
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.022855446720094985	0.0	0.008388520971302429	0.0	0.03129931614939505	0.0192195690157251	0.0219797110359668	0.028260541030678554	0.010761521399819273	0.020623080298376482	0.0	0.01154921952539926	0.006577119036591014	0.0	0.0	0.013136511375947995	0.0029613466334164587	0.011897307451471509	0.014882797966017611	0.007880039782725118
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.015138023152270703	0.009824902723735408	0.015805739514348785	0.026419248309482623	0.023014203051025774	0.001331225559530743	0.014601905932984938	0.027051533927761825	0.020947999671403927	0.058797718297498906	0.016980386994866394	0.009564197419471262	0.009819360815192218	0.015315192123615479	0.0034263338228095936	0.059588299024918745	0.02727556109725686	0.03036944270507201	0.021207987101575097	0.0031367148649682503
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	0.0	0.00894941634241245	0.010772626931567329	0.0	0.05391899000526039	0.0128130460104834	0.0	0.0	0.013061693912757742	0.041465555068012284	0.0	0.009203284309302536	0.014543770264011116	0.028305756871325038	0.0	0.009886240520043338	0.0	0.02833437695679399	0.011038075158129728	0.01109325988830235
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	0.00875630750964678	0.035603112840466924	0.0234878587196468	0.035540179273470675	0.08442924776433457	0.005657708628005658	0.05425760836151245	0.03128305878797038	0.03310605438265013	0.04673102237823607	0.07292352244306963	0.028060994315618516	0.024363131079203335	0.03965540817721865	0.0723201174743025	0.026137594799566632	0.0007793017456359103	0.021289918597370068	0.03485055190375791	0.044755565756254306
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.01751261501929356	0.0	0.0	0.0	0.006706996317727512	0.0	0.011835229019366738	0.0	0.0	0.0	0.015664077925496907	0.005413696652530903	0.0	0.0	0.01725403817914831	0.0	0.0	0.0	0.040927694406548434	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Fusicatenibacter	0.017957850994360345	0.006712062256809338	0.010949227373068433	0.0	0.00828511309836928	0.0	0.03827236397171841	0.023273386731147046	0.0	0.023475208424747696	0.006976438067658286	0.014346296129206893	0.010375173691523853	0.0	0.0	0.0	0.0	0.0	0.005953119186407045	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	0.032650638171564265	0.0	0.023311258278145695	0.04560465481994024	0.016964755391899	0.013062650802895415	0.03442975714724869	0.055463200846304975	0.028423560338453956	0.005265467310223783	0.037383177570093455	0.009113056031760354	0.01445113478462251	0.02256255982496923	0.012236906510034264	0.01570964247020585	0.01527431421446384	0.047589229805886035	0.035842738434825744	0.007727029301507153
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	0.0	0.05603112840466926	0.044503311258278146	0.03601195156471143	0.036296685954760655	0.0964306514685082	0.0	0.0	0.06678715189353487	0.0	0.05410030275108595	0.06893440404222684	0.04270495599814729	0.00013674278681799536	0.037077826725403815	0.07638136511375948	0.026340399002493766	0.03710081402629931	0.003968746124271363	0.026623823731925636
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	0.020777678836449986	0.009824902723735408	0.018543046357615896	0.021072495675420664	0.034850078905839035	0.013062650802895415	0.047955733169382106	0.0	0.0	0.0	0.016848756087929444	0.012000360913110169	0.0	0.0	0.011502692119432207	0.004875406283856988	0.0	0.011271133375078271	0.03695894828227707	0.02685333945375258
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	0.0	0.0	0.0	0.0	0.011967385586533404	0.01098261086612863	0.020135259760221333	0.0	0.0	0.007240017551557701	0.0	0.015068122349544346	0.005372857804539138	0.0	0.00783162016642193	0.008261105092091008	0.0	0.015184721352536006	0.018231427508371575	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	0.0	0.017315175097276266	0.0	0.0	0.0030247238295633876	0.0	0.001537042729787888	0.0	0.0	0.0	0.0	0.0015338807182170892	0.0	0.0	0.0	0.0028439869989165764	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	0.00192935589195607	0.007976653696498054	0.01554083885209713	0.013209624154741311	0.010783798001052078	0.02421166486396539	0.00768521364893944	0.00876530149614629	0.012979544894438512	0.025010969723562967	0.01092536527576675	0.009925110529639989	0.013895321908290875	0.0	0.014072442486539403	0.02789815817984832	0.021041147132169577	0.009236067626800251	0.0068212824010914054	0.01292938566291791
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.009201543484713566	0.0	0.008211920529801325	0.015883000471772293	0.0194634402945818	0.012979449205424744	0.025053796495542575	0.0024180142058334592	0.017086995810400067	0.019745502413339184	0.006449914439910491	0.013985383019038167	0.0037980546549328392	0.0	0.0015907978463044542	0.021262188515709643	0.02524937655860349	0.013775829680651221	0.01327049485303237	0.007191492617244282
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelotrichaceae_UCG-003	0.019738794894627487	0.0	0.013509933774834438	0.005975782355716308	0.020252498684902684	0.005158499043181629	0.0	0.02493577149765755	0.005503984227388483	0.03093462044756472	0.013294721600631828	0.0	0.0041685965724872626	0.0	0.0	0.0013542795232936078	0.01059850374064838	0.009079524107701941	0.01252635495473149	0.0014535995715706527
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.06173938854259424	0.05262645914396887	0.052538631346578366	0.0	0.02183061546554445	0.028122139945086947	0.0631724561942822	0.02282000906755327	0.02727347408198472	0.03444493198771391	0.031064894037119917	0.061716141838852295	0.025289485873089393	0.027211814576781075	0.013582966226138032	0.035346695557963166	0.0381857855361596	0.03850970569818409	0.04241597420315019	0.040930303725805216
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;__	0.0	0.005933852140077821	0.0	0.0	0.011572856391372961	0.0	0.0	0.0	0.0	0.016235190873189996	0.0	0.0	0.0	0.0	0.0	0.0	0.01761221945137157	0.015184721352536006	0.0	0.0022951572182694515
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	0.020035618878005344	0.0061284046692607	0.0	0.0	0.012756443976854288	0.0004160079873533572	0.0178296956655395	0.0	0.011090117473096196	0.0443176831943835	0.015532447018559959	0.005503924930073085	0.002779064381658175	0.0	0.0015907978463044542	0.013542795232936078	0.0	0.0	0.0	0.015377553362405325
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0.020777678836449986	0.015175097276264591	0.0018543046357615894	0.034282119830161974	0.0071015255128879535	0.006822530992595058	0.014448201660006148	0.03853710140547076	0.005914729318984638	0.015796401930671347	0.0	0.005503924930073085	0.009263547938860583	0.00943525229044168	0.0025697503671071953	0.01570964247020585	0.0012468827930174563	0.027082028804007514	0.011038075158129728	0.001912631015224543
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Veillonella	0.003413475808845355	0.0	0.0	0.0	0.004076801683324566	0.0	0.020135259760221333	0.004231524860208554	0.00016429803663846218	0.00153576129881527	0.0	0.0014436524406749075	0.0	0.04430466292903049	0.004038179148311307	0.0	0.0	0.002974326862867877	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus	0.0	0.0	0.0	0.0	0.021436086270384007	0.0	0.0	0.0	0.0	0.017990346643264588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.006530127634312852	0.017120622568093387	0.01554083885209713	0.0	0.0034192530247238295	0.01963557700307846	0.0	0.0	0.01667625071880391	0.0	0.008161116230090826	0.0036993593792294505	0.0010189902732746642	0.0	0.0	0.007042253521126761	0.0	0.019254852849092046	0.004216792757038323	0.007497513579680208
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus	0.0	0.0	0.00423841059602649	0.0	0.007627564439768543	0.0	0.04272978788810329	0.0	0.0	0.0028521281263712154	0.0	0.0018045655508436343	0.0	0.003965540817721865	0.0	0.0065005417118093175	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Tyzzerella	0.011724547343425349	0.0	0.0	0.0	0.017622304050499738	0.0038272734836508862	0.0	0.0	0.0017251293847038527	0.0	0.0	0.0	0.004075961093098657	0.012853821960891562	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0.0	0.0	0.0	0.0	0.014466070489216202	0.0	0.0	0.02886504458213692	0.0	0.0	0.0	0.0	0.0	0.017092848352249418	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Mitsuokella	0.0	0.0	0.0	0.0	0.000920568122041031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Chitinophaga	0.0	0.0023346303501945525	0.0	0.0	0.0007890583903208837	0.0	0.0	0.0	0.0	0.002413339183852567	0.0	0.0	0.0	0.010529194584985642	0.0	0.0	0.003273067331670823	0.001408891671884784	0.0012402331638348009	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter	0.0	0.006809338521400778	0.0	0.004560465481994024	0.0010520778537611783	0.0	0.0	0.0	0.008132752813603877	0.0	0.024220086876398577	0.005143011819904358	0.004817044928207503	0.0	0.0	0.0	0.0	0.0	0.0	0.006120419248718537
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0.0	0.013521400778210117	0.004856512141280353	0.008334643811920114	0.009468700683850605	0.011565022048423329	0.0192130341223486	0.0010578812150521385	0.005914729318984638	0.009872751206669592	0.0	0.02300821077325634	0.0006484483557202408	0.0	0.0	0.008802816901408451	0.003584788029925187	0.0	0.009673818677911448	0.0
